LABEL	SENTENCE
表态#否定	你不应该这样做
表态#否定	你的想法是不行的
表态#否定	不太行
表态#否定	这个我不想要
表态#否定	不行
表态#否定	我反对
表态#否定	你的言论遭到了我们的否定
表态#否定	你不能这样做
表态#否定	我不认为你的观点是行的
表态#否定	我不认为你的做法是对的
表态#否定	我认为你的观点是不行的
表态#否定	你不应该这样说
表态#满意	貌似很不错哦
表态#满意	你真厉害
表态#满意	你刚刚讲的话很精彩
表态#满意	太给力了
表态#满意	你太给力了
表态#满意	牛
表态#满意	我真心喜欢他
表态#满意	绝对好评
表态#满意	真厉害啊
表态#满意	有你在，真好啊
表态#满意	和你聊得很开心
表态#满意	你讲的对，这件事必须按你说的办
表态#满意	真的好漂亮
表态#满意	有你真好
表态#满意	你对大家都很公平，值得学习
表态#满意	好厉害的手机
表态#满意	你刚刚的话让我受益匪浅
表态#满意	你说得不错
表态#满意	万岁，耶
表态#满意	真牛
表态#满意	很满意
表态#满意	他确实挺不错的
表态#满意	好犀利啊
表态#满意	干的漂亮
表态#满意	好喜欢的手机
表态#满意	哈哈，幸亏有你在
表态#犹豫	有好的意见吗
表态#犹豫	我和朋友商量下
表态#犹豫	我不知道选哪款手机
表态#犹豫	我没有好的做法
表态#犹豫	你的意见呢
表态#犹豫	我该使用哪款手机
表态#犹豫	你说买哪个好点
表态#犹豫	哪个好呢
表态#犹豫	你好，等我问清楚了，再过来答复您好吗
表态#犹豫	我不知道哪个好
表态#犹豫	到底哪一款比较好
表态#犹豫	我还在纠结哪一个
表态#犹豫	我没有好的思路
表态#犹豫	我不清楚想要哪个
表态#犹豫	我没有好的想法
表态#犹豫	﻿纠结，不知道买不买好，好纠结
表态#犹豫	那么，我选哪一款好
表态#犹豫	谁比较好
表态#犹豫	选哪一台好呢
表态#犹豫	好纠结好纠结呀
表态#疑问	真的吗?
表态#疑问	真的么，好好玩的样子
表态#肯定	是的
表态#肯定	我认为肯定是这样
表态#肯定	我坚信我的想法是对的
表态#肯定	我坚信这一定能行
表态#肯定	嗯，肯定是正确的
表态#肯定	这手机挺漂亮的
表态#肯定	对，就是这样
表态#肯定	我肯定我的想法是一定正确的
表态#肯定	这不存在问题，这是十分正确的
表态#肯定	没问题
表态#肯定	是的，这是一定正确的
表态#肯定	我认为这是正确的
表态#肯定	可以啦
表态#肯定	没错，这是非常正确的
表态#肯定	是啊，我也这么认为
表态#肯定	还好
表态#肯定	我就是这样觉得的
表态#肯定	是的，这是十分正确的
表态#肯定	这手机挺好看的
表态#肯定	这完全没有异义
表态#肯定	这不存在问题，这是绝对正确的
表态#肯定	这样是正确的
表态#肯定	没那么喜欢
表态#肯定	对啊
表态#肯定	这当然是正确的啊
表态#肯定	行
表态#肯定	我知道了
表态#肯定	嗯，我认为这能行
表态#肯定	能
表态#肯定	嗯，我认为我的想法完全正确
表态#肯定	这是绝对正确的
表态#肯定	我认为我的想法一定正确
表态#肯定	呦西
表态#肯定	嗯
表态#肯定	没错，这是一定正确的
表态#肯定	好的，我支持你
表态#肯定	我同意你的想法
表态#肯定	确定要
表态#肯定	嗯，我认为这是对的
表态#肯定	还行
表态#肯定	我肯定我的想法是对的
表态#肯定	我也觉得也是
表态#肯定	OK
表态#肯定	可以
表态#肯定	一般般你
表态#肯定	好的
表态#肯定	听你的话
表态#肯定	没错
表态#肯定	是的，这是肯定正确的
表态#肯定	你是对的
表态#肯定	可以要
表态#附和	哈哈哈哈
表态#附和	哈哈，好好笑啊
表态#附和	呵呵
表态#随便	没要求
表态#随便	都可以
表态#随便	这个无所谓
社交义务#不用谢	你太不客气了
社交义务#接受道歉	没关系
社交义务#接受道歉	没事拉
社交义务#致谢	麻烦您了
社交义务#致谢	谢谢您的服务
社交义务#致谢	谢谢你哦
社交义务#道歉	请多保重
社交义务#道歉	谢谢，打扰你了
社交义务#问候	在吗
社交义务#问候	你好，在吗
社交义务#问候	ch2r你好
社交义务#问候	祝你今天快乐
社交义务#问候	你吃饭没有
社交义务#问候	嗨，近来好吗
社交义务#问候	握个手吧
社交义务#问候	嗨
社交义务#问候	嗨，哈罗
社交义务#问候	你好
社交义务#问候	吃饭了吗
社交义务#问候	祝您节日愉快
社交义务#问候	最近忙不忙
社交义务#问候	中午好
社交义务#问候	最近身体好吗
闲聊#天气	持续暴雨
闲聊#天气	这样的雾霾天气让人们觉得非常难受
闲聊#天气	大到暴雪
闲聊#天气	今天天气不错嘛
闲聊#天气	我很喜欢这种凉飕飕的天气
闲聊#天气	明天天气好像很好
闲聊#天气	空气质量令人满意，基本无空气污染
闲聊#天气	听说台风快到这边了
闲聊#天气	这场雪下了整整一天
闲聊#天气	这么大的雾很影响人们的出行
闲聊#天气	今天天气好不好
闲聊#天气	这种回南天真让人受不了
闲聊#天气	昨天就下了一会儿的雨
闲聊#天气	不过这里的雾霾天气越来越严重了
闲聊#天气	今天的天气好闷热
闲聊#天气	强降雨逐渐南压
闲聊#天气	最近这几天都是阴天
闲聊#天气	我不喜欢在这种恶劣的天气下旅行
闲聊#天气	今天早上居然下雪了
闲聊#天气	最近的天气挺好的
闲聊#天气	阵雪、小雪、中雪、大雪、暴雪、
闲聊#天气	下个月天气就开始变得干燥起来了
闲聊#天气	阴天
闲聊#天气	气象台发布了暴雨预警
闲聊#天气	浮尘、扬沙、沙尘暴、强沙尘暴、特强沙尘暴
闲聊#天气	好冷
闲聊#天气	微风
闲聊#天气	明天天气怎么样
闲聊#天气	今天又是阴天
闲聊#天气	冷空气还有两天到达
闲聊#天气	秋高日爽的天气让人心旷神怡
闲聊#天气	这几天气温好高啊
闲聊#天气	雷阵雨、
闲聊#天气	昨天晚上下了好大的雪
闲聊#天气	最近风有点大
闲聊#天气	天气预报说后天气温会降到零度以下
闲聊#天气	接下来的几个星期里平均空气湿度将会达到全年最高
闲聊#天气	今天很晒啊
闲聊#天气	最近天气有点反复无常
闲聊#时间	24个小时
闲聊#时间	明天是几号
闲聊#时间	19点30分
闲聊#时间	明年的五一劳动节是不是在星期三那天
闲聊#时间	你什么时候才可以
闲聊#时间	周末就快来了
闲聊#时间	今年是闰年
闲聊#时间	去年的重阳节是多少号
闲聊#时间	明天是多少号
闲聊#时间	不知道现在几点
闲聊#时间	现在是什么时间
闲聊#时间	今年的清明节是几号
闲聊#时间	你知道现在是几点吗
闲聊#时间	今天是星期二吗
闲聊#时间	请问现在几点了
闲聊#时间	23点59分59秒
闲聊#时间	还剩下多少分钟
闲聊#时间	明天是星期六了吗
闲聊#时间	大概什么时候
闲聊#时间	多少分钟
闲聊#时间	早上7点
闲聊#时间	中午就可以
闲聊#时间	今天多少号
闲聊#时间	还有多少个小时
闲聊#时间	晚上吗
闲聊#身份信息	你的职业是什么
闲聊#身份信息	你爸爸是谁
闲聊#身份信息	你需要消耗什么能源
闲聊#身份信息	你是程序员吗
闲聊#身份信息	你有身份证吗
闲聊#身份信息	你都知道些什么知识啊
闲聊#身份信息	你是好人还是坏人
闲聊#身份信息	你的性别是什么
闲聊#身份信息	你是男的吧
闲聊#身份信息	你是哪个国家的人
闲聊#身份信息	你能跟我交流吗
闲聊#身份信息	你的名字是什么
闲聊#身份信息	你的脚多大啊
闲聊#身份信息	你的年龄是多少
闲聊#身份信息	你会说什么话
闲聊#身份信息	你是女的吧
闲聊#身份信息	你的手臂有什么用
闲聊#身份信息	你的体重是多少啊
闲聊#身份信息	你有没有生命啊
闲聊#身份信息	你是什么时候出生的
闲聊#身份信息	你有编号吗
闲聊#身份信息	你是从哪里来的
闲聊#身份信息	难道你不是机器人
闲聊#身份信息	我说什么，你就能做什么吗
闲聊#身份信息	你会帮我做作业吗
闲聊#身份信息	你有什么目标
闲聊#身份信息	你有女朋友吗
闲聊#身份信息	你有没有兄弟姐妹
闲聊#身份信息	请问您贵姓
闲聊#身份信息	你的创造者是谁
闲聊#身份信息	你是中国人吗
闲聊#身份信息	你是土豪吗
闲聊#身份信息	你的职业是服务人类吗
闲聊#身份信息	你会不会生锈
闲聊#身份信息	你结婚了吗
闲聊#身份信息	今天充电了么机器人
