	Unnamed: 0	Unnamed: 0.1	LABEL	SENTENCE	WORDS	SINGLE
27	27	27	其它#其它	我买这么多功能的手机会不会浪费	我 买 这么 多功能 的 手机 会 不会 浪费	我 买 这 么 多 功 能 的 手 机 会 不 会 浪 费
28	28	28	其它#其它	我们聊得挺投缘的嘛	我们 聊得 挺 投缘 的 嘛	我 们 聊 得 挺 投 缘 的 嘛
29	29	29	其它#其它	我好像没有带够钱	我 好像 没有 带够 钱	我 好 像 没 有 带 够 钱
30	30	30	其它#其它	我家人不知道同不同意我买手机	我家 人 不 知道 同 不 同意 我 买手机	我 家 人 不 知 道 同 不 同 意 我 买 手 机
31	31	31	其它#其它	我想退货的时候到底能不能退呢	我 想 退货 的 时候 到底 能 不能 退 呢	我 想 退 货 的 时 候 到 底 能 不 能 退 呢
32	32	32	其它#其它	我插句话行不	我 插句 话行 不	我 插 句 话 行 不
33	33	33	其它#其它	我没有好的	我 没有 好 的	我 没 有 好 的
34	34	34	其它#其它	我没有找借口	我 没有 找 借口	我 没 有 找 借 口
35	35	35	其它#其它	我没有说谎	我 没有 说谎	我 没 有 说 谎
36	36	36	其它#其它	我看看先	我 看看 先	我 看 看 先
37	37	37	其它#其它	本来就是这样嘛	本来 就是 这样 嘛	本 来 就 是 这 样 嘛
38	38	38	其它#其它	没你不行啊	没 你 不行 啊	没 你 不 行 啊
39	39	39	其它#其它	用一个词来形容我	用 一个 词来 形容 我	用 一 个 词 来 形 容 我
40	40	40	其它#其它	祝大家心想事成，万事如意	祝 大家 心想事成 ， 万事如意	祝 大 家 心 想 事 成 ， 万 事 如 意
41	41	41	其它#其它	算了，我们换个话题	算了 ， 我们 换个 话题	算 了 ， 我 们 换 个 话 题
42	42	42	其它#捣乱	6666666	6666666	6 6 6 6 6 6 6
43	43	43	其它#捣乱	一句温馨的问候，一个轻轻的拥抱，一个浪漫的小插曲，都能给人一种清新愉悦的感受，就向一股暖流流入心底	一句 温馨 的 问候 ， 一个 轻轻 的 拥抱 ， 一个 浪漫 的 小 插曲 ， 都 能 给 人 一种 清新 愉悦 的 感受 ， 就 向 一股 暖流 流入 心底	一 句 温 馨 的 问 候 ， 一 个 轻 轻 的 拥 抱 ， 一 个 浪 漫 的 小 插 曲 ， 都 能 给 人 一 种 清 新 愉 悦 的 感 受 ， 就 向 一 股 暖 流 流 入 心 底
44	44	44	其它#捣乱	下午几点到	下午 几点 到	下 午 几 点 到
45	45	45	其它#捣乱	下周什么时候	下周 什么 时候	下 周 什 么 时 候
46	46	46	其它#捣乱	下雨就撑伞，流感就预防，生活没有什么过不去的坎，人就是要给点阳光就灿烂	下雨 就 撑伞 ， 流感 就 预防 ， 生活 没有 什么 过不去 的 坎 ， 人 就是 要 给 点 阳光 就 灿烂	下 雨 就 撑 伞 ， 流 感 就 预 防 ， 生 活 没 有 什 么 过 不 去 的 坎 ， 人 就 是 要 给 点 阳 光 就 灿 烂
47	47	47	其它#捣乱	不是你的错，很明显，是他干的	不是 你 的 错 ， 很 明显 ， 是 他 干 的	不 是 你 的 错 ， 很 明 显 ， 是 他 干 的
48	48	48	其它#捣乱	不知道明天有没有空	不 知道 明天 有没有 空	不 知 道 明 天 有 没 有 空
49	49	49	其它#捣乱	不要再犹豫不决了。不要总是思前顾后，否则你就给带来了根本就不存在的问题。先分析情况，然后果断地采取行动。你无法改变你不想面对的现实。取得进展就意味着承担风险	不要 再 犹豫不决 了 。 不要 总是 思前 顾后 ， 否则 你 就 给 带来 了 根本 就 不 存在 的 问题 。 先 分析 情况 ， 然后 果断 地 采取行动 。 你 无法 改变 你 不想 面对 的 现实 。 取得 进展 就 意味着 承担风险	不 要 再 犹 豫 不 决 了 。 不 要 总 是 思 前 顾 后 ， 否 则 你 就 给 带 来 了 根 本 就 不 存 在 的 问 题 。 先 分 析 情 况 ， 然 后 果 断 地 采 取 行 动 。 你 无 法 改 变 你 不 想 面 对 的 现 实 。 取 得 进 展 就 意 味 着 承 担 风 险
50	50	50	其它#捣乱	不要挑逗我	不要 挑逗 我	不 要 挑 逗 我
51	51	51	其它#捣乱	不要调戏我	不要 调戏 我	不 要 调 戏 我
52	52	52	其它#捣乱	不见去年人,景物却依旧,物是人非	不见 去年 人 , 景物 却 依旧 , 物是人非	不 见 去 年 人 , 景 物 却 依 旧 , 物 是 人 非
53	53	53	其它#捣乱	两条路都不是通往车站	两条路 都 不是 通往 车站	两 条 路 都 不 是 通 往 车 站
54	54	54	其它#捣乱	中国大还是美国大啊	中国 大 还是 美国 大 啊	中 国 大 还 是 美 国 大 啊
55	55	55	其它#捣乱	为什么会生病	为什么 会 生病	为 什 么 会 生 病
56	56	56	其它#捣乱	亲爱的朋友，原谅我渐渐少去的问候。有一种感情，不再浓烈，却一直存在。我们不能时时在身边，好像电话短信也少了，我们不能第一时间分享彼此的快乐与不快乐，好像变的冷漠沉默了。可是如果有一天，我们再遇见，亲爱的，那当初的一切不会变	亲爱 的 朋友 ， 原谅 我 渐渐 少去 的 问候 。 有 一种 感情 ， 不再 浓烈 ， 却 一直 存在 。 我们 不能 时时 在 身边 ， 好像 电话 短信 也 少 了 ， 我们 不能 第一 时间 分享 彼此 的 快乐 与 不 快乐 ， 好像 变 的 冷漠 沉默 了 。 可是 如果 有 一天 ， 我们 再 遇见 ， 亲爱 的 ， 那 当初 的 一切 不会 变	亲 爱 的 朋 友 ， 原 谅 我 渐 渐 少 去 的 问 候 。 有 一 种 感 情 ， 不 再 浓 烈 ， 却 一 直 存 在 。 我 们 不 能 时 时 在 身 边 ， 好 像 电 话 短 信 也 少 了 ， 我 们 不 能 第 一 时 间 分 享 彼 此 的 快 乐 与 不 快 乐 ， 好 像 变 的 冷 漠 沉 默 了 。 可 是 如 果 有 一 天 ， 我 们 再 遇 见 ， 亲 爱 的 ， 那 当 初 的 一 切 不 会 变
57	57	57	其它#捣乱	什么时候能有女朋友	什么 时候 能 有 女朋友	什 么 时 候 能 有 女 朋 友
58	58	58	其它#捣乱	他们确实很般配	他们 确实 很 般配	他 们 确 实 很 般 配
59	59	59	其它#捣乱	他们都不是我昨晚见到的那个人	他们 都 不是 我 昨晚 见到 的 那个 人	他 们 都 不 是 我 昨 晚 见 到 的 那 个 人
60	60	60	其它#捣乱	他常常迈步向前，跃跃欲试，然而来到爱玛面前，这种决心很快也就烟消云散，不知去向	他 常常 迈步 向前 ， 跃跃欲试 ， 然而 来到 爱玛 面前 ， 这种 决心 很快 也 就 烟消云散 ， 不知去向	他 常 常 迈 步 向 前 ， 跃 跃 欲 试 ， 然 而 来 到 爱 玛 面 前 ， 这 种 决 心 很 快 也 就 烟 消 云 散 ， 不 知 去 向
61	61	61	其它#捣乱	他确实很勤奋	他 确实 很 勤奋	他 确 实 很 勤 奋
62	62	62	其它#捣乱	他确实很帅	他 确实 很帅	他 确 实 很 帅
63	63	63	其它#捣乱	你不是对句中定语的否定	你 不是 对句 中 定语 的 否定	你 不 是 对 句 中 定 语 的 否 定
64	64	64	其它#捣乱	你们什么时候来到这里的	你们 什么 时候 来到 这里 的	你 们 什 么 时 候 来 到 这 里 的
65	65	65	其它#捣乱	你喜欢那件衣服吗	你 喜欢 那 件 衣服 吗	你 喜 欢 那 件 衣 服 吗
66	66	66	其它#捣乱	你好，您点的XX菜现在已经买完了，您看还有XX菜和这道菜口味相似，您要不要来一份	你好 ， 您 点 的 XX 菜 现在 已经 买 完 了 ， 您 看 还有 XX 菜 和 这 道菜 口味 相似 ， 您 要 不要 来 一份	你 好 ， 您 点 的 X X 菜 现 在 已 经 买 完 了 ， 您 看 还 有 X X 菜 和 这 道 菜 口 味 相 似 ， 您 要 不 要 来 一 份
67	67	67	其它#捣乱	你好，打扰一下，帮你加点汤	你好 ， 打扰 一下 ， 帮 你 加点 汤	你 好 ， 打 扰 一 下 ， 帮 你 加 点 汤
68	68	68	其它#捣乱	你家是什么时候装修的	你家 是 什么 时候 装修 的	你 家 是 什 么 时 候 装 修 的
69	69	69	其它#捣乱	你居然不知道韩红是谁	你 居然 不 知道 韩红 是 谁	你 居 然 不 知 道 韩 红 是 谁
70	70	70	其它#捣乱	你把问题分析的很好，接下来交给我们办吧	你 把 问题 分析 的 很 好 ， 接下来 交给 我们 办 吧	你 把 问 题 分 析 的 很 好 ， 接 下 来 交 给 我 们 办 吧
71	71	71	其它#捣乱	你有没有看过这本书	你 有没有 看过 这 本书	你 有 没 有 看 过 这 本 书
72	72	72	其它#捣乱	你的歌声抒发了我美好的理想，我的琴音凝集了你无限的向往。愿我们合奏一首幸福曲	你 的 歌声 抒发 了 我 美好 的 理想 ， 我 的 琴音 凝集 了 你 无限 的 向往 。 愿 我们 合奏 一首 幸福 曲	你 的 歌 声 抒 发 了 我 美 好 的 理 想 ， 我 的 琴 音 凝 集 了 你 无 限 的 向 往 。 愿 我 们 合 奏 一 首 幸 福 曲
73	73	73	其它#捣乱	你看得到他吗	你 看 得到 他 吗	你 看 得 到 他 吗
74	74	74	其它#捣乱	你看得到我吗	你 看 得到 我 吗	你 看 得 到 我 吗
75	75	75	其它#捣乱	你知道华南农业大学在哪里吗	你 知道 华南农业大学 在 哪里 吗	你 知 道 华 南 农 业 大 学 在 哪 里 吗
76	76	76	其它#捣乱	你知道这是什么歌吗	你 知道 这是 什么 歌 吗	你 知 道 这 是 什 么 歌 吗
77	77	77	其它#捣乱	你能帮我抢生意吗	你 能 帮 我 抢生意 吗	你 能 帮 我 抢 生 意 吗
78	78	78	其它#捣乱	你能预测奥运会中国队能拿多少金牌吗	你 能 预测 奥运会 中国队 能 拿 多少 金牌 吗	你 能 预 测 奥 运 会 中 国 队 能 拿 多 少 金 牌 吗
79	79	79	其它#捣乱	你若安好，便是晴天	你 若 安好 ， 便是 晴天	你 若 安 好 ， 便 是 晴 天
80	80	80	其它#捣乱	你要去哪里	你 要 去 哪里	你 要 去 哪 里
81	81	81	其它#捣乱	你要去哪里呀	你 要 去 哪里 呀	你 要 去 哪 里 呀
82	82	82	其它#捣乱	你觉得她体重是多少	你 觉得 她 体重 是 多少	你 觉 得 她 体 重 是 多 少
83	83	83	其它#捣乱	你觉得我帅不帅	你 觉得 我帅 不帅	你 觉 得 我 帅 不 帅
84	84	84	其它#捣乱	你认不认识百度公司的创造人	你 认 不 认识 百度 公司 的 创造 人	你 认 不 认 识 百 度 公 司 的 创 造 人
85	85	85	其它#捣乱	你说的一点都没错，就是他干的	你 说 的 一点 都 没错 ， 就是 他 干 的	你 说 的 一 点 都 没 错 ， 就 是 他 干 的
86	86	86	其它#捣乱	你说那支队伍会赢吗	你 说 那支 队伍 会 赢 吗	你 说 那 支 队 伍 会 赢 吗
87	87	87	其它#捣乱	你还有什么问题吗	你 还有 什么 问题 吗	你 还 有 什 么 问 题 吗
88	88	88	其它#捣乱	你预测一下悟空的发挥吧	你 预测 一下 悟空 的 发挥 吧	你 预 测 一 下 悟 空 的 发 挥 吧
89	89	89	其它#捣乱	做朋友的绝对不会忘了你！送给你最真的祝福，让你有个暖暖的圣诞节。感动了吧！虽然只有3块钱，但也是个很棒的礼物	做 朋友 的 绝对 不会 忘 了 你 ！ 送给 你 最 真的 祝福 ， 让 你 有 个 暖暖的 圣诞节 。 感动 了 吧 ！ 虽然 只有 3 块钱 ， 但 也 是 个 很棒 的 礼物	做 朋 友 的 绝 对 不 会 忘 了 你 ！ 送 给 你 最 真 的 祝 福 ， 让 你 有 个 暖 暖 的 圣 诞 节 。 感 动 了 吧 ！ 虽 然 只 有 3 块 钱 ， 但 也 是 个 很 棒 的 礼 物
90	90	90	其它#捣乱	凉风飞舞着祝福，轻轻送上真挚的问候：愿快乐伴随，清凉一夏	凉风 飞舞 着 祝福 ， 轻轻 送上 真挚 的 问候 ： 愿 快乐 伴随 ， 清凉 一夏	凉 风 飞 舞 着 祝 福 ， 轻 轻 送 上 真 挚 的 问 候 ： 愿 快 乐 伴 随 ， 清 凉 一 夏
91	91	91	其它#捣乱	别动，举起手来	别动 ， 举起手来	别 动 ， 举 起 手 来
92	92	92	其它#捣乱	别站在人生的十字路口徘徊不定，犹豫不决。人生就这麽一次未知的旅行，在乎的是沿途的风景和旅行的心情。不会因为你的停留尔美丽的风景终止，走过的路已经成为你背後的风景	别站 在 人生 的 十字路口 徘徊 不定 ， 犹豫不决 。 人生 就 这 麽 一次 未知 的 旅行 ， 在乎 的 是 沿途 的 风景 和 旅行 的 心情 。 不会 因为 你 的 停留 尔 美丽 的 风景 终止 ， 走过 的 路 已经 成为 你 背 後 的 风景	别 站 在 人 生 的 十 字 路 口 徘 徊 不 定 ， 犹 豫 不 决 。 人 生 就 这 麽 一 次 未 知 的 旅 行 ， 在 乎 的 是 沿 途 的 风 景 和 旅 行 的 心 情 。 不 会 因 为 你 的 停 留 尔 美 丽 的 风 景 终 止 ， 走 过 的 路 已 经 成 为 你 背 後 的 风 景
93	93	93	其它#捣乱	别跟我谈感情	别跟我 谈 感情	别 跟 我 谈 感 情
94	94	94	其它#捣乱	劝你一句，老朋友：别忘了乐极生悲这句话！但愿你一切都好	劝 你 一句 ， 老朋友 ： 别忘了 乐极生悲 这句 话 ！ 但愿 你 一切 都 好	劝 你 一 句 ， 老 朋 友 ： 别 忘 了 乐 极 生 悲 这 句 话 ！ 但 愿 你 一 切 都 好
95	95	95	其它#捣乱	半个小时就可以	半个 小时 就 可以	半 个 小 时 就 可 以
96	96	96	其它#捣乱	华丽的外表，往往掩盖着肮脏的灵魂，偶像派的明星，还有追星族的傻逼们	华丽 的 外表 ， 往往 掩盖着 肮脏 的 灵魂 ， 偶像 派 的 明星 ， 还有 追星族 的 傻 逼们	华 丽 的 外 表 ， 往 往 掩 盖 着 肮 脏 的 灵 魂 ， 偶 像 派 的 明 星 ， 还 有 追 星 族 的 傻 逼 们
97	97	97	其它#捣乱	叔叔	叔叔	叔 叔
98	98	98	其它#捣乱	句中的否定词没有作谓语中心语	句 中 的 否定词 没有 作 谓语 中心语	句 中 的 否 定 词 没 有 作 谓 语 中 心 语
99	99	99	其它#捣乱	可以给我么	可以 给 我 么	可 以 给 我 么
100	100	100	其它#捣乱	可以载我一程吗	可以 载 我 一程 吗	可 以 载 我 一 程 吗
101	101	101	其它#捣乱	可能明天中午就可以	可能 明天 中午 就 可以	可 能 明 天 中 午 就 可 以
102	102	102	其它#捣乱	可能没那么快	可能 没 那么 快	可 能 没 那 么 快
103	103	103	其它#捣乱	可能要过几天才行	可能 要 过 几天 才行	可 能 要 过 几 天 才 行
104	104	104	其它#捣乱	可能需要等两个星期	可能 需要 等 两个 星期	可 能 需 要 等 两 个 星 期
105	105	105	其它#捣乱	各种矛盾的心情，痛苦地绞缢着她	各种 矛盾 的 心情 ， 痛苦 地 绞缢 着 她	各 种 矛 盾 的 心 情 ， 痛 苦 地 绞 缢 着 她
106	106	106	其它#捣乱	后来呢？怎么样了	后来 呢 ？ 怎么样 了	后 来 呢 ？ 怎 么 样 了
107	107	107	其它#捣乱	喂，你要去哪里	喂 ， 你 要 去 哪里	喂 ， 你 要 去 哪 里
108	108	108	其它#捣乱	喂，怎么没我的份	喂 ， 怎么 没 我 的 份	喂 ， 怎 么 没 我 的 份
109	109	109	其它#捣乱	嘿，我的呢	嘿 ， 我 的 呢	嘿 ， 我 的 呢
110	110	110	其它#捣乱	在他的灵魂里，两种感情，恶与答的感情，受了侮辱的自尊心与对这个受苦的女人的怜悯心，正在交战	在 他 的 灵魂 里 ， 两种 感情 ， 恶 与 答 的 感情 ， 受 了 侮辱 的 自尊心 与 对 这个 受苦 的 女人 的 怜悯 心 ， 正在 交战	在 他 的 灵 魂 里 ， 两 种 感 情 ， 恶 与 答 的 感 情 ， 受 了 侮 辱 的 自 尊 心 与 对 这 个 受 苦 的 女 人 的 怜 悯 心 ， 正 在 交 战
111	111	111	其它#捣乱	在内心深处，总有一个身影徘徊，总有一个声音问候，无论何时想起，温暖随时都能感应	在 内心深处 ， 总有 一个 身影 徘徊 ， 总有 一个 声音 问候 ， 无论 何时 想起 ， 温暖 随时 都 能 感应	在 内 心 深 处 ， 总 有 一 个 身 影 徘 徊 ， 总 有 一 个 声 音 问 候 ， 无 论 何 时 想 起 ， 温 暖 随 时 都 能 感 应
112	112	112	其它#捣乱	在通往未来的人生岔口，你坚定地选择了这条小路。路的那边是风和日丽，曲径通幽？还是急风残月，河边断桥？你无从知晓。于是，你开始迷惘忧虑，懊丧不已，后悔当初没有走上岔口那边的小路，那片风景中也许会是花好月圆，阳光灿烂。然而昨日的太阳已落，失去的风景已过，生命的旅途没有回返的路程。你已没有了选择，也不能过多的犹豫，你只能依靠着信念走出这泥泞的雨地。也许你会错过一段季节，也许你会迷失一段方向，错过了太阳，你还会再迷失月亮吗	在 通往 未来 的 人生 岔口 ， 你 坚定 地 选择 了 这条 小路 。 路 的 那边 是 风和日丽 ， 曲径通幽 ？ 还是 急风 残月 ， 河边 断桥 ？ 你 无从 知晓 。 于是 ， 你 开始 迷惘 忧虑 ， 懊丧 不已 ， 后悔 当初 没有 走上 岔口 那边 的 小路 ， 那片 风景 中 也许 会 是 花好月圆 ， 阳光灿烂 。 然而 昨日 的 太阳 已落 ， 失去 的 风景 已过 ， 生命 的 旅途 没有 回返 的 路程 。 你 已 没有 了 选择 ， 也 不能 过多 的 犹豫 ， 你 只能 依靠 着 信念 走出 这 泥泞 的 雨 地 。 也许 你 会 错过 一段 季节 ， 也许 你 会 迷失 一段 方向 ， 错过 了 太阳 ， 你 还 会 再 迷失 月亮 吗	在 通 往 未 来 的 人 生 岔 口 ， 你 坚 定 地 选 择 了 这 条 小 路 。 路 的 那 边 是 风 和 日 丽 ， 曲 径 通 幽 ？ 还 是 急 风 残 月 ， 河 边 断 桥 ？ 你 无 从 知 晓 。 于 是 ， 你 开 始 迷 惘 忧 虑 ， 懊 丧 不 已 ， 后 悔 当 初 没 有 走 上 岔 口 那 边 的 小 路 ， 那 片 风 景 中 也 许 会 是 花 好 月 圆 ， 阳 光 灿 烂 。 然 而 昨 日 的 太 阳 已 落 ， 失 去 的 风 景 已 过 ， 生 命 的 旅 途 没 有 回 返 的 路 程 。 你 已 没 有 了 选 择 ， 也 不 能 过 多 的 犹 豫 ， 你 只 能 依 靠 着 信 念 走 出 这 泥 泞 的 雨 地 。 也 许 你 会 错 过 一 段 季 节 ， 也 许 你 会 迷 失 一 段 方 向 ， 错 过 了 太 阳 ， 你 还 会 再 迷 失 月 亮 吗
113	113	113	其它#捣乱	夜宵怎么解决	夜宵 怎么 解决	夜 宵 怎 么 解 决
114	114	114	其它#捣乱	夸我一句	夸 我 一句	夸 我 一 句
115	115	115	其它#捣乱	女的	女 的	女 的
116	116	116	其它#捣乱	她收不住奔驰起来的思想，一会儿充满了幸福，幸福得心向外膨胀，一会儿充满了恐惧，感到这事是那么可怕	她 收 不住 奔驰 起来 的 思想 ， 一会儿 充满 了 幸福 ， 幸福 得心 向 外 膨胀 ， 一会儿 充满 了 恐惧 ， 感到 这事 是 那么 可怕	她 收 不 住 奔 驰 起 来 的 思 想 ， 一 会 儿 充 满 了 幸 福 ， 幸 福 得 心 向 外 膨 胀 ， 一 会 儿 充 满 了 恐 惧 ， 感 到 这 事 是 那 么 可 怕
117	117	117	其它#捣乱	她确实很漂亮	她 确实 很漂亮	她 确 实 很 漂 亮
118	118	118	其它#捣乱	好无聊啊	好 无聊 啊	好 无 聊 啊
119	119	119	其它#捣乱	好的，请稍等！请用茶，请喝豆浆	好 的 ， 请稍等 ！ 请用茶 ， 请 喝 豆浆	好 的 ， 请 稍 等 ！ 请 用 茶 ， 请 喝 豆 浆
120	120	120	其它#捣乱	姊妹两并非都在这里	姊妹 两 并非 都 在 这里	姊 妹 两 并 非 都 在 这 里
121	121	121	其它#捣乱	定闹钟会痛，不定闹钟也会痛；闹钟响会痛，闹钟不响也会痛；被叫醒会痛，叫不醒也会痛；起床会痛，不起床也会痛	定 闹钟 会痛 ， 不定 闹钟 也 会 痛 ； 闹钟 响会痛 ， 闹钟 不响 也 会 痛 ； 被 叫醒 会痛 ， 叫 不醒 也 会 痛 ； 起床 会痛 ， 不 起床 也 会 痛	定 闹 钟 会 痛 ， 不 定 闹 钟 也 会 痛 ； 闹 钟 响 会 痛 ， 闹 钟 不 响 也 会 痛 ； 被 叫 醒 会 痛 ， 叫 不 醒 也 会 痛 ； 起 床 会 痛 ， 不 起 床 也 会 痛
122	122	122	其它#捣乱	宵夜怎么解决	宵夜 怎么 解决	宵 夜 怎 么 解 决
123	123	123	其它#捣乱	寒风吹，祝福到。	寒风 吹 ， 祝福 到 。	寒 风 吹 ， 祝 福 到 。
124	124	124	其它#捣乱	对不起、请原谅、不用谢、没关心、请不要放在心上	对不起 、 请原谅 、 不用谢 、 没 关心 、 请 不要 放在心上	对 不 起 、 请 原 谅 、 不 用 谢 、 没 关 心 、 请 不 要 放 在 心 上
125	125	125	其它#捣乱	尼姑用广州话怎么读	尼姑 用 广州话 怎么 读	尼 姑 用 广 州 话 怎 么 读
126	126	126	其它#捣乱	巨大的爱和情欲正在他的内心深处激烈地搏斗，他袖着手，呆呆地望着天空	巨大 的 爱 和 情欲 正在 他 的 内心深处 激烈 地 搏斗 ， 他袖 着手 ， 呆呆地 望 着 天空	巨 大 的 爱 和 情 欲 正 在 他 的 内 心 深 处 激 烈 地 搏 斗 ， 他 袖 着 手 ， 呆 呆 地 望 着 天 空
127	127	127	其它#捣乱	希望我的祝福能驱散你平日的辛劳	希望 我 的 祝福 能 驱散 你 平日 的 辛劳	希 望 我 的 祝 福 能 驱 散 你 平 日 的 辛 劳
128	128	128	其它#捣乱	带我去学校好不好	带我去 学校 好不好	带 我 去 学 校 好 不 好
129	129	129	其它#捣乱	帮我倒杯水可以吗	帮 我 倒杯水 可以 吗	帮 我 倒 杯 水 可 以 吗
130	130	130	其它#捣乱	干炒牛河怎么做呀	干 炒 牛河 怎么 做 呀	干 炒 牛 河 怎 么 做 呀
131	131	131	其它#捣乱	应该过几天就可以	应该 过 几天 就 可以	应 该 过 几 天 就 可 以
132	132	132	其它#捣乱	开发者	开发者	开 发 者
133	133	133	其它#捣乱	当时他一方面为裘德将要在她手里受痛苦而眼泪直落，另一方面又为自己可怜而眼泪直涌，两种眼泪，互相混合	当时 他 一方面 为 裘德 将要 在 她 手里 受 痛苦 而 眼泪 直落 ， 另一方面 又 为 自己 可怜 而 眼泪 直涌 ， 两种 眼泪 ， 互相 混合	当 时 他 一 方 面 为 裘 德 将 要 在 她 手 里 受 痛 苦 而 眼 泪 直 落 ， 另 一 方 面 又 为 自 己 可 怜 而 眼 泪 直 涌 ， 两 种 眼 泪 ， 互 相 混 合
134	134	134	其它#捣乱	影响我们下决心的因素，往往既不是事情过于复杂，也不是我们的判断力不够，而是对于自己即将放弃的选择心有不甘	影响 我们 下决心 的 因素 ， 往往 既 不是 事情 过于 复杂 ， 也 不是 我们 的 判断力 不够 ， 而是 对于 自己 即将 放弃 的 选择 心有 不甘	影 响 我 们 下 决 心 的 因 素 ， 往 往 既 不 是 事 情 过 于 复 杂 ， 也 不 是 我 们 的 判 断 力 不 够 ， 而 是 对 于 自 己 即 将 放 弃 的 选 择 心 有 不 甘
135	135	135	其它#捣乱	征询语：需要我帮忙嘛？、我能为你做些什么嘛	征询 语 ： 需要 我 帮忙 嘛 ？ 、 我能 为 你 做些 什么 嘛	征 询 语 ： 需 要 我 帮 忙 嘛 ？ 、 我 能 为 你 做 些 什 么 嘛
136	136	136	其它#捣乱	很久很久，你欠了我的一声问候，哪怕只是短短的一两句寒暄	很久很久 ， 你 欠 了 我 的 一声 问候 ， 哪怕 只是 短短的 一两句 寒暄	很 久 很 久 ， 你 欠 了 我 的 一 声 问 候 ， 哪 怕 只 是 短 短 的 一 两 句 寒 暄
137	137	137	其它#捣乱	微笑将祝福传递，喜悦将幸福传送，问候温馨更暖心，祝福情真意更真，画个快乐大圈圈，年年岁岁保佑你	微笑 将 祝福 传递 ， 喜悦 将 幸福 传送 ， 问候 温馨 更暖心 ， 祝福 情 真意 更真 ， 画个 快乐 大 圈圈 ， 年年岁岁 保佑 你	微 笑 将 祝 福 传 递 ， 喜 悦 将 幸 福 传 送 ， 问 候 温 馨 更 暖 心 ， 祝 福 情 真 意 更 真 ， 画 个 快 乐 大 圈 圈 ， 年 年 岁 岁 保 佑 你
138	138	138	其它#捣乱	忙碌一周的你感觉累吗?要好好休息	忙碌 一周 的 你 感觉 累 吗 ? 要 好好 休息	忙 碌 一 周 的 你 感 觉 累 吗 ? 要 好 好 休 息
139	139	139	其它#捣乱	快回到属于你的地方	快回到 属于 你 的 地方	快 回 到 属 于 你 的 地 方
